,Uniprot,PDB
13029,P55036,5VFS
13030,P55036,5VFT
13031,P55036,5VFU
13032,P55036,5VGZ
13033,P55036,5VHF
13034,P55036,5VHH
13035,P55036,5VHI
13036,P55036,5VHS
13037,P55036,6MSB
13038,P55036,6MSD
13039,P55036,6MSE
13040,P55036,6MSG
13041,P55036,6MSH
13042,P55036,6MSJ
13043,P55036,6MSK
13046,P55036,6WJD
13047,P55036,6WJN
13048,Q8TB72,3Q0Q
13049,Q8TB72,3Q0R
13050,Q8TB72,3Q0S
13109,Q15459,6AH0
13111,Q15459,6FF7
13122,Q15428,6AH0
13125,Q15428,6FF7
13140,Q15427,6AH0
13150,P53041,1A17
13152,P53041,1WAO
13153,P53041,2BUG
